pid,planid,liability,assets,inflation_assumption,discount,wage_inf,payroll,actives_tot,inactive,retired,ActiveSalary_avg,BeneficiaryBenefit_avg,reqcont employer,pctmale,avgageret,pctmrg,df,reduct,pen,ret_liability,inact_liability,PVFB,ncrate_tot
64,sd_gen19,10602166,7595073,0.0305,0.065,0.03,484764.5,5757,500,10205,84.204,50.119,0.8054,0.66,,,,,,,,,0.2762
65,sd_gen18,10192808.46,7214925.011,0.0305,0.065,0.03,455753.4,5967,,10024,76.379,49.262,0.7942,0.66,,,,,,,,,0.274
66,sd_gen20,11206326,7870672,0.0305,0.065,0.03,501203.7,5535,500,10409,90.552,51.09,0.8798,0.66,,,,,,,,,0.3082
67,chi_gen19,17260356,4012852,0.025,0.07,0.03,1802790,32162,18734,25544,56.053,36.211,0.6284,0.71344305,,,,,,,,,0.1316
68,chi_gen18,16808614.32,4195644.172,0.025,0.07,0.03,1734595.691,31285,,25577,55.445,34.764,0.6257,0.71344305,,,,,,,,,0.1323
69,chi_gen20,17814812,3977038,0.025,0.07,0.03,1861905,31327,20139,25471,59.435,37.299,0.6353,0.463,,,,,,,,,0.1327
70,chi_pol19,14269770,3179503,0.0225,0.0643,0.03,1228987,13353,707,13771,92.038,68.746,0.6402,0.71344305,,,,,,,,,0.22167
71,chi_pol18,13214658.11,3145136.204,0.0275,0.0718,0.03,1205324.445,13438,,13631,89.695,67.434,0.61189,0.463,,,,,,,,,0.19586
72,chi_pol20,14703119,3399988,0.0225,0.0628,0.03,1195980,12715,801,13900,94.061,71.202,0.66845,0.71344305,,,,,,,,,0.21819
73,bos_gen19,11822396,7476798,0.025,0.0705,0.03,1646906,20856,12678,14559,78.966,43.374,0.12663,44.7,,,,,,,,,0.23219
74,bos_gen18,11208848.99,7069519.666,,0.075,0.03,1593575.568,20925,,0,76.155,,,44.7,,,,,,,,,
75,bos_gen20,11822396,7476798,0.025,0.0705,0.03,1719831,20856,12678,14559,78.966,43.374,0.12663,44.7,,,,,,,,,0.23219
76,nyc_fir19,22477031,,0.025,0.07,0.03,1302872,11237,103,16593,116220,74.779,,0.42,,,,,,,,,
77,nyc_fir18,21787888,12876671,0.025,0.07,0.03,1305960,11237,,16593,116220,74.779,1.08676,0.42,,,,,,,,,0.53623
78,nyc_fir20,23302435,,0.025,0.07,0.03,1336843,11237,103,16593,,,0.60666,0.42,,,,,,,,,
79,nyc_pol19,49089967,,0.025,0.07,0.03,4047772,36562,2431,50124,110.858,51.619,,0.42,,,,,,,,,
80,nyc_pol18,48024798,36098314,0.025,0.07,0.03,4053205,36562,,50124,110.858,51.619,,0.42,,,,,,,,,
81,nyc_pol20,51317492,,0.025,0.07,0.03,4244806,36562,2431,50124,88.407,50.704,,0.42,,,,,,,,,0.66174
82,mil_gen19,6597457,5285205,0.025,0.075,0.03,596386,10974,4568,13555,54.346,29.48,0.2821,0.709591326,,,,,,,,,0.1609
83,mil_gen18,6400901,5219184,0.025,0.075,0.03,581663,10851,,13370,53.605,28.649,0.2616,0.709591326,,,,,,,,,0.1632
84,mil_gen20,6745299,5440867,0.025,0.075,0.03,586369,10567,4984,13647,55.491,30.605,0.2873,0.709591326,,,,,,,,,0.158
85,phi_gen19,11783085,5852473,0.033,0.0755,0.03,1842555,28596,1785,36767,64.434,22.309,0.3746,0.6471,,,,,,,,,0.1026
86,phi_gen18,11152098,5397433.621,0.033,0.076,0.03,1802304,28845,,36656,62.59,21.951,0.3778,0.6471,,,,,,,,,0.1009
87,phi_gen20,12038051,6242696,0.033,0.0755,0.03,1921217,28892,1872,36195,66.497,22.835,0.3665,0.6471,,,,,,,,,0.1023
88,bos_ffp19,4723972,2160126,0.025,0.07,0.03,396954.7,4738,128,5039,76.254,50.161,0.4671,0.858724014,,,,,,,,,0.174
89,bos_ffp18,4494822.504,2161899.662,0.0275,0.0725,0.03,363117.415,4529,,4919,70.476,49.885,0.4188,0.858724014,,,,,,,,,0.1669
90,bos_ffp20,5115967,2127834,0.025,0.07,0.03,427440.5,4786,1710,5110,82.919,50.197,0.5177,0.858724014,,,,,,,,,0.1922
91,det_ffp18,4033386.488,2994275.191,0.025,0.0675,0.03,145936.144,2575,,8935,56.967,32.328,0.125,,,,,,,,,,0.1739
92,det_ffp20,3904132,2601302,0.025,0.0715,0.03,150648.3,2559,6,8874,59.811,32.79,0.1225,,,,,,,,,,0.1772
93,det_ffp19,3999736,2829811,0.025,0.0675,0.03,133730.1,2488,1707,8893,60.306,32.637,0.1225,,,,,,,,,,0.1779
94,bal_ffp18,3884617.239,2712246.895,0.0275,0.0725,0.03,323350.763,4049,,6296,75.419,36.517,0.42597,0.463,,,,,,,,,0.2158
95,bal_ffp20,4069217,2811813,0.0275,0.07,0.03,326639.9,3927,0,6351,79.516,38.453,,0.463,,,,,,,,,0.2158
96,bal_ffp19,3966401,2767719,0.0275,0.0725,0.03,322382.2,3983,1024,6334,77.487,37.439,0.43838,0.463,,,,,,,,,0.2155
97,sea_gen19,4411100,3040700,0.0275,0.0725,0.03,785600,9440,9955,7029,86.833,30.473,0.161,0.64,,,,,,,,,0.1525
98,sea_gen18,4216700,2877400,0.0275,,0.03,779100,9388,,6792,82.831,29.042,0.1614,0.64,,,,,,,,,0.1542
99,sea_gen20,4673100,3345800,0.0275,0.0725,0.03,876900,9287,10549,7123,94.562,31.258,0.1533,0.64,,,,,,,,,0.151
100,nsh_gen18,3264476.848,3097585.778,,,0.03,623435.266,11646,,8916,53.532,17.449,0.12106,,,,,,,,,,0.08899
101,nsh_gen20,3548735,3312807,0.025,0.0725,0.03,662803.8,12055,8663,9459,54.982,18.24,0.12881,,,,,,,,,,0.08729
102,nsh_gen19,3368176,3203495,0.025,0.0725,0.03,638020.4,11828,8638,9363,53.942,17.974,0.12057,,,,,,,,,,0.08951
103,jax_gen18,3196680.516,2021056.306,0.0275,0.07,0.03,253982.175,4234,,5176,59.986,35.026,0.3903,0.66,,,,,,,,,0.1548
104,jax_gen20,3389704,2042780,0.025,0.069,0.03,246864.1,3663,19,5218,67.394,35.712,0.4598,,,,,,,,,,0.1621
105,jax_gen19,3286313,2008173,0.025,0.069,0.03,249982.9,3937,0,5215,63.496,36.096,0.4279,,,,,,,,,,0.1575
