plan,target,status,score,exact,close,wrong,missing,extra,totals,n_tables,n_attempts,crash,run_dir,ppd
clt_ff,Avg_Mort,production,,,,,,,clean,5,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/clt_ff_Avg_Mort_20260729_160147,
clt_ff,Retirement,crash,,,,,,,,,,harness error: row 90-94: share_even takes one source,,
dal,Age_Serv_Num,scored,0.9828,57,0,1,0,1,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dal_Age_Serv_Num_20260729_160327,ok
dal,Age_Serv_Wage,scored,0.9825,56,0,1,0,1,clean,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dal_Age_Serv_Wage_20260729_160345,
dal,Ret_Rate,scored,0.0,0,0,0,189,0,none,2,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dal_Ret_Rate_20260729_160431,
dal,Sep_Rate,scored,0.5364,59,0,51,0,0,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dal_Sep_Rate_20260729_160455,
dal,Avg_Mort,scored,0.0,0,0,25,75,0,clean,5,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dal_Avg_Mort_20260729_160533,
dal,Retirement,scored,0.5,11,8,3,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dal_Retirement_20260729_160651,
dal_pf,Age_Serv_Num,scored,1.0,47,0,0,0,0,suspect,1,8,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dal_pf_Age_Serv_Num_20260729_160706,off
dal_pf,Age_Serv_Wage,scored,0.9362,44,1,1,1,0,suspect,2,9,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dal_pf_Age_Serv_Wage_20260729_161651,
