planid,cityabv,plantype,fy,tier,tierid,agemin,agemax,servmin,servmax,employee,inactive
sf_gen19,sf,gen,19,2,sf_gen19_t2,45,49,25,29,11,
sf_gen19,sf,gen,19,2,sf_gen19_t2,50,54,25,29,91,
sf_gen19,sf,gen,19,2,sf_gen19_t2,55,59,25,29,60,
sf_gen19,sf,gen,19,2,sf_gen19_t2,60,64,25,29,12,
sf_gen19,sf,gen,19,2,sf_gen19_t2,65,70,25,29,3,
sf_gen19,sf,gen,19,2,sf_gen19_t2,20,24,30,34,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,25,29,30,34,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,30,34,30,34,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,35,39,30,34,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,40,44,30,34,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,45,49,30,34,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,50,54,30,34,11,
sf_gen19,sf,gen,19,2,sf_gen19_t2,55,59,30,34,9,
sf_gen19,sf,gen,19,2,sf_gen19_t2,60,64,30,34,7,
sf_gen19,sf,gen,19,2,sf_gen19_t2,65,70,30,34,1,
sf_gen19,sf,gen,19,2,sf_gen19_t2,20,24,35,40,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,25,29,35,40,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,30,34,35,40,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,35,39,35,40,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,40,44,35,40,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,45,49,35,40,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,50,54,35,40,,
sf_gen19,sf,gen,19,2,sf_gen19_t2,55,59,35,40,1,
sf_gen19,sf,gen,19,2,sf_gen19_t2,60,64,35,40,1,
sf_gen19,sf,gen,19,2,sf_gen19_t2,65,70,35,40,3,
sf_gen19,sf,gen,19,3,sf_gen19_t3,20,24,0,4,234,
sf_gen19,sf,gen,19,3,sf_gen19_t3,25,29,0,4,1310,
sf_gen19,sf,gen,19,3,sf_gen19_t3,30,34,0,4,2335,
sf_gen19,sf,gen,19,3,sf_gen19_t3,35,39,0,4,2151,
sf_gen19,sf,gen,19,3,sf_gen19_t3,40,44,0,4,1599,
sf_gen19,sf,gen,19,3,sf_gen19_t3,45,49,0,4,1342,
sf_gen19,sf,gen,19,3,sf_gen19_t3,50,54,0,4,1118,
sf_gen19,sf,gen,19,3,sf_gen19_t3,55,59,0,4,869,
sf_gen19,sf,gen,19,3,sf_gen19_t3,60,64,0,4,444,
sf_gen19,sf,gen,19,3,sf_gen19_t3,65,70,0,4,167,
sf_gen19,sf,gen,19,3,sf_gen19_t3,20,24,5,9,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,25,29,5,9,94,
sf_gen19,sf,gen,19,3,sf_gen19_t3,30,34,5,9,731,
sf_gen19,sf,gen,19,3,sf_gen19_t3,35,39,5,9,1067,
sf_gen19,sf,gen,19,3,sf_gen19_t3,40,44,5,9,983,
sf_gen19,sf,gen,19,3,sf_gen19_t3,45,49,5,9,837,
sf_gen19,sf,gen,19,3,sf_gen19_t3,50,54,5,9,741,
sf_gen19,sf,gen,19,3,sf_gen19_t3,55,59,5,9,654,
sf_gen19,sf,gen,19,3,sf_gen19_t3,60,64,5,9,455,
sf_gen19,sf,gen,19,3,sf_gen19_t3,65,70,5,9,209,
sf_gen19,sf,gen,19,3,sf_gen19_t3,20,24,10,14,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,25,29,10,14,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,30,34,10,14,82,
sf_gen19,sf,gen,19,3,sf_gen19_t3,35,39,10,14,489,
sf_gen19,sf,gen,19,3,sf_gen19_t3,40,44,10,14,744,
sf_gen19,sf,gen,19,3,sf_gen19_t3,45,49,10,14,820,
sf_gen19,sf,gen,19,3,sf_gen19_t3,50,54,10,14,747,
sf_gen19,sf,gen,19,3,sf_gen19_t3,55,59,10,14,720,
sf_gen19,sf,gen,19,3,sf_gen19_t3,60,64,10,14,512,
sf_gen19,sf,gen,19,3,sf_gen19_t3,65,70,10,14,238,
sf_gen19,sf,gen,19,3,sf_gen19_t3,20,24,15,19,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,25,29,15,19,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,30,34,15,19,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,35,39,15,19,51,
sf_gen19,sf,gen,19,3,sf_gen19_t3,40,44,15,19,358,
sf_gen19,sf,gen,19,3,sf_gen19_t3,45,49,15,19,693,
sf_gen19,sf,gen,19,3,sf_gen19_t3,50,54,15,19,821,
sf_gen19,sf,gen,19,3,sf_gen19_t3,55,59,15,19,848,
sf_gen19,sf,gen,19,3,sf_gen19_t3,60,64,15,19,596,
sf_gen19,sf,gen,19,3,sf_gen19_t3,65,70,15,19,274,
sf_gen19,sf,gen,19,3,sf_gen19_t3,20,24,20,24,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,25,29,20,24,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,30,34,20,24,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,35,39,20,24,2,
sf_gen19,sf,gen,19,3,sf_gen19_t3,40,44,20,24,62,
sf_gen19,sf,gen,19,3,sf_gen19_t3,45,49,20,24,359,
sf_gen19,sf,gen,19,3,sf_gen19_t3,50,54,20,24,663,
sf_gen19,sf,gen,19,3,sf_gen19_t3,55,59,20,24,703,
sf_gen19,sf,gen,19,3,sf_gen19_t3,60,64,20,24,475,
sf_gen19,sf,gen,19,3,sf_gen19_t3,65,70,20,24,205,
sf_gen19,sf,gen,19,3,sf_gen19_t3,20,24,25,29,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,25,29,25,29,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,30,34,25,29,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,35,39,25,29,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,40,44,25,29,1,
sf_gen19,sf,gen,19,3,sf_gen19_t3,45,49,25,29,38,
sf_gen19,sf,gen,19,3,sf_gen19_t3,50,54,25,29,262,
sf_gen19,sf,gen,19,3,sf_gen19_t3,55,59,25,29,497,
sf_gen19,sf,gen,19,3,sf_gen19_t3,60,64,25,29,315,
sf_gen19,sf,gen,19,3,sf_gen19_t3,65,70,25,29,117,
sf_gen19,sf,gen,19,3,sf_gen19_t3,20,24,30,34,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,25,29,30,34,,
