plan,sheet,n_numeric_cells,signature,status,n_plans_sharing_signature,availableData_flag
NY83,retirement,469,0d2bc470,plan_specific,1,False
NY83,refund,284,99d19109,shared_default,36,False
NY83,disability,286,8debf9a1,shared_default,35,False
OH88,ageservice,262,7e107d79,plan_specific,1,True
OH88,retdist,94,c8a94b9a,plan_specific,1,True
OH88,wagerel,232,2434935c,plan_specific,1,True
OH88,mortality,702,c9509462,plan_specific,1,True
OH88,wagegrowth,204,74ff9cd3,plan_specific,1,True
OH88,withdrawal,286,fa8521a6,plan_specific,1,False
OH88,retirement,286,06452396,plan_specific,1,False
OH88,refund,284,99d19109,shared_default,36,False
OH88,disability,286,8debf9a1,shared_default,35,False
OK134,ageservice,214,c1e15e4a,plan_specific,1,True
OK134,retdist,117,7f241dac,plan_specific,1,True
OK134,wagerel,205,e3736bc4,plan_specific,1,True
OK134,mortality,601,da600f48,plan_specific,1,True
OK134,wagegrowth,169,97044086,plan_specific,1,True
OK134,withdrawal,287,f5f2dfc5,plan_specific,1,True
OK134,retirement,308,6ef58003,plan_specific,1,True
OK134,refund,284,99d19109,shared_default,36,False
OK134,disability,286,8debf9a1,shared_default,35,False
OR91,ageservice,956,19a42ec8,plan_specific,1,True
OR91,retdist,142,7cd9f559,plan_specific,1,True
OR91,wagerel,143,ab6a1ff8,plan_specific,1,True
OR91,mortality,601,a9c1f070,shared_default,3,True
OR91,wagegrowth,197,416f92dd,plan_specific,1,True
OR91,withdrawal,403,d222925d,plan_specific,1,True
OR91,retirement,740,3cd86ce6,plan_specific,1,True
OR91,refund,284,99d19109,shared_default,36,False
OR91,disability,286,8debf9a1,shared_default,35,False
PA92,ageservice,241,e82cfc9e,plan_specific,1,True
PA92,retdist,222,25d7646a,plan_specific,1,True
PA92,wagerel,249,d9be0daa,plan_specific,1,True
PA92,mortality,602,e73da51f,plan_specific,1,True
PA92,wagegrowth,163,a74bf681,plan_specific,1,True
PA92,withdrawal,355,99b6722a,plan_specific,1,True
PA92,retirement,319,8835cf53,plan_specific,1,True
PA92,refund,284,99d19109,shared_default,36,False
PA92,disability,286,8debf9a1,shared_default,35,False
PA93,ageservice,442,bad5f33a,plan_specific,1,True
PA93,retdist,233,b7520cf0,plan_specific,1,True
PA93,wagerel,392,d7658f3c,plan_specific,1,True
PA93,mortality,601,1b6ecf63,plan_specific,1,True
PA93,wagegrowth,143,9459437e,plan_specific,1,True
PA93,withdrawal,359,ca03ec5c,plan_specific,1,True
PA93,retirement,395,300c3bf3,plan_specific,1,True
PA93,refund,284,99d19109,shared_default,36,False
PA93,disability,286,8debf9a1,shared_default,35,False
RI96,ageservice,926,e6febe9d,plan_specific,1,True
RI96,retdist,154,ee1e5f3f,plan_specific,1,True
RI96,wagerel,89,cf525b90,plan_specific,1,True
RI96,mortality,631,f0b1a1a5,plan_specific,1,True
RI96,wagegrowth,143,823a6a73,plan_specific,1,True
RI96,withdrawal,286,1a6f3ba9,plan_specific,1,True
RI96,retirement,288,28d4c69f,plan_specific,1,True
RI96,refund,284,99d19109,shared_default,36,False
RI96,disability,286,8debf9a1,shared_default,35,False
SC100,ageservice,667,758b2347,plan_specific,1,True
SC100,retdist,162,342535c5,plan_specific,1,True
SC100,wagerel,143,c6331a97,plan_specific,1,True
SC100,mortality,731,d00d7e7e,plan_specific,1,True
SC100,wagegrowth,269,833766a3,plan_specific,1,True
SC100,withdrawal,1339,04045d20,plan_specific,1,True
SC100,retirement,593,c9fe673c,plan_specific,1,False
SC100,refund,284,99d19109,shared_default,36,False
SC100,disability,286,8debf9a1,shared_default,35,False
SC99,ageservice,316,0428bf6e,plan_specific,1,True
SC99,retdist,104,344dd2d3,plan_specific,1,True
SC99,wagerel,847,99b81a3c,plan_specific,1,True
SC99,mortality,601,615cde92,plan_specific,1,True
SC99,wagegrowth,143,a11e3b91,plan_specific,1,True
SC99,withdrawal,310,100b786d,plan_specific,1,True
SC99,retirement,413,39c33563,plan_specific,1,False
SC99,refund,284,99d19109,shared_default,36,False
SC99,disability,286,8debf9a1,shared_default,35,False
TX108,ageservice,258,eeb99fe8,plan_specific,1,True
TX108,retdist,113,4dad0903,plan_specific,1,True
TX108,wagerel,307,f37af106,plan_specific,1,True
TX108,mortality,88,5fd040cd,plan_specific,1,True
TX108,wagegrowth,245,0cc7b1b8,plan_specific,1,True
TX108,withdrawal,623,c5fbc71c,plan_specific,1,True
TX108,retirement,446,96a9b9a3,plan_specific,1,True
TX108,refund,0,,absent,,False
TX108,disability,0,,absent,,False
