planid,agemin,agemax,servmin,servmax,wage,employee,inactive
dal_gen19,45,49,20,24,67546,,
dal_gen19,50,54,20,24,71903.89247,,
dal_gen19,55,59,20,24,67980.85799,,
dal_gen19,60,64,20,24,67917.57732,,
dal_gen19,65,70,20,24,63643.35714,,
dal_gen19,20,24,25,29,,,
dal_gen19,25,29,25,29,,,
dal_gen19,30,34,25,29,,,
dal_gen19,35,39,25,29,,,
dal_gen19,40,44,25,29,54485,,
dal_gen19,45,49,25,29,69963.64815,,
dal_gen19,50,54,25,29,71604.81818,,
dal_gen19,55,59,25,29,77745.74359,,
dal_gen19,60,64,25,29,74001.52273,,
dal_gen19,65,70,25,29,73833.61111,,
dal_gen19,20,24,30,34,,,
dal_gen19,25,29,30,34,,,
dal_gen19,30,34,30,34,,,
dal_gen19,35,39,30,34,,,
dal_gen19,40,44,30,34,,,
dal_gen19,45,49,30,34,51210,,
dal_gen19,50,54,30,34,73788.9,,
dal_gen19,55,59,30,34,82164.26087,,
dal_gen19,60,64,30,34,85145.52381,,
dal_gen19,65,70,30,34,79720.25,,
dal_gen19,20,24,35,40,,,
dal_gen19,25,29,35,40,,,
dal_gen19,30,34,35,40,,,
dal_gen19,35,39,35,40,,,
dal_gen19,40,44,35,40,,,
dal_gen19,45,49,35,40,,,
dal_gen19,50,54,35,40,73788.9,,
dal_gen19,55,59,35,40,82164.26087,,
dal_gen19,60,64,35,40,85145.52381,,
dal_gen19,65,70,35,40,79720.25,,
hou_gen19,20,24,0,4,34548.87356,180,
hou_gen19,25,29,0,4,39066.70376,638,
hou_gen19,30,34,0,4,44775.2328,683,
hou_gen19,35,39,0,4,48541.64765,596,
hou_gen19,40,44,0,4,48851.43488,453,
hou_gen19,45,49,0,4,49597.93228,443,
hou_gen19,50,54,0,4,49010.29563,389,
hou_gen19,55,59,0,4,53671.56656,323,
hou_gen19,60,64,0,4,52797.53646,192,
hou_gen19,65,70,0,4,61674.47059,68,
hou_gen19,20,24,5,9,37466,4,
hou_gen19,25,29,5,9,39251,104,
hou_gen19,30,34,5,9,45797,272,
hou_gen19,35,39,5,9,51648,305,
hou_gen19,40,44,5,9,56788,219,
hou_gen19,45,49,5,9,53227,255,
hou_gen19,50,54,5,9,53190,228,
hou_gen19,55,59,5,9,57474,221,
hou_gen19,60,64,5,9,59694,172,
hou_gen19,65,70,5,9,57932,102,
hou_gen19,20,24,10,14,,,
hou_gen19,25,29,10,14,56518,5,
hou_gen19,30,34,10,14,45687,116,
hou_gen19,35,39,10,14,54901,339,
hou_gen19,40,44,10,14,55715,345,
hou_gen19,45,49,10,14,57139,371,
hou_gen19,50,54,10,14,55179,396,
hou_gen19,55,59,10,14,55056,409,
hou_gen19,60,64,10,14,54830,293,
hou_gen19,65,70,10,14,58835,192,
hou_gen19,20,24,15,19,,,
hou_gen19,25,29,15,19,,,
hou_gen19,30,34,15,19,56659,1,
hou_gen19,35,39,15,19,50052,59,
hou_gen19,40,44,15,19,54379,125,
hou_gen19,45,49,15,19,53455,202,
hou_gen19,50,54,15,19,54823,202,
hou_gen19,55,59,15,19,54302,241,
hou_gen19,60,64,15,19,52487,151,
hou_gen19,65,70,15,19,61867,92,
hou_gen19,20,24,20,24,,,
hou_gen19,25,29,20,24,,,
hou_gen19,30,34,20,24,,,
hou_gen19,35,39,20,24,51362,3,
hou_gen19,40,44,20,24,50474,66,
hou_gen19,45,49,20,24,57155,218,
hou_gen19,50,54,20,24,56670,283,
hou_gen19,55,59,20,24,57243,256,
hou_gen19,60,64,20,24,55568,184,
hou_gen19,65,70,20,24,59862,109,
hou_gen19,20,24,25,29,,,
hou_gen19,25,29,25,29,,,
hou_gen19,30,34,25,29,,,
hou_gen19,35,39,25,29,,,
hou_gen19,40,44,25,29,,,
hou_gen19,45,49,25,29,55964,83,
hou_gen19,50,54,25,29,58325,248,
hou_gen19,55,59,25,29,57891,228,
hou_gen19,60,64,25,29,62289,166,
hou_gen19,65,70,25,29,60284,90,
hou_gen19,20,24,30,34,,,
hou_gen19,25,29,30,34,,,
hou_gen19,30,34,30,34,,,
hou_gen19,35,39,30,34,,,
hou_gen19,40,44,30,34,,,
hou_gen19,45,49,30,34,65728,1,
hou_gen19,50,54,30,34,56136,61,
hou_gen19,55,59,30,34,61147,105,
hou_gen19,60,64,30,34,66469,65,
hou_gen19,65,70,30,34,76059,31,
hou_gen19,20,24,35,40,,,
hou_gen19,25,29,35,40,,,
hou_gen19,30,34,35,40,,,
hou_gen19,35,39,35,40,,,
hou_gen19,40,44,35,40,,,
hou_gen19,45,49,35,40,,,
hou_gen19,50,54,35,40,60487,2,
hou_gen19,55,59,35,40,60432,56,
hou_gen19,60,64,35,40,65347,54,
hou_gen19,65,70,35,40,81550,15,
