planid,cityabv,plantype,fy,tier,tierid,agemin,agemax,servmin,servmax,employee,inactive
lax_gen19,lax,gen,19,1,lax_gen19_t1,40,44,35,40,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,45,49,35,40,,
lax_gen19,lax,gen,19,1,lax_gen19_t1,50,54,35,40,23,
lax_gen19,lax,gen,19,1,lax_gen19_t1,55,59,35,40,137,
lax_gen19,lax,gen,19,1,lax_gen19_t1,60,64,35,40,158,
lax_gen19,lax,gen,19,1,lax_gen19_t1,65,70,35,40,131,
lax_gen19,lax,gen,19,2,lax_gen19_t2,20,24,0,4,560,
lax_gen19,lax,gen,19,2,lax_gen19_t2,25,29,0,4,"1,186",
lax_gen19,lax,gen,19,2,lax_gen19_t2,30,34,0,4,"1,008",
lax_gen19,lax,gen,19,2,lax_gen19_t2,35,39,0,4,766,
lax_gen19,lax,gen,19,2,lax_gen19_t2,40,44,0,4,558,
lax_gen19,lax,gen,19,2,lax_gen19_t2,45,49,0,4,440,
lax_gen19,lax,gen,19,2,lax_gen19_t2,50,54,0,4,360,
lax_gen19,lax,gen,19,2,lax_gen19_t2,55,59,0,4,270,
lax_gen19,lax,gen,19,2,lax_gen19_t2,60,64,0,4,124,
lax_gen19,lax,gen,19,2,lax_gen19_t2,65,70,0,4,30,
lax_gen19,lax,gen,19,2,lax_gen19_t2,20,24,5,9,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,25,29,5,9,1,
lax_gen19,lax,gen,19,2,lax_gen19_t2,30,34,5,9,14,
lax_gen19,lax,gen,19,2,lax_gen19_t2,35,39,5,9,10,
lax_gen19,lax,gen,19,2,lax_gen19_t2,40,44,5,9,6,
lax_gen19,lax,gen,19,2,lax_gen19_t2,45,49,5,9,4,
lax_gen19,lax,gen,19,2,lax_gen19_t2,50,54,5,9,5,
lax_gen19,lax,gen,19,2,lax_gen19_t2,55,59,5,9,1,
lax_gen19,lax,gen,19,2,lax_gen19_t2,60,64,5,9,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,65,70,5,9,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,20,24,10,14,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,25,29,10,14,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,30,34,10,14,3,
lax_gen19,lax,gen,19,2,lax_gen19_t2,35,39,10,14,8,
lax_gen19,lax,gen,19,2,lax_gen19_t2,40,44,10,14,6,
lax_gen19,lax,gen,19,2,lax_gen19_t2,45,49,10,14,8,
lax_gen19,lax,gen,19,2,lax_gen19_t2,50,54,10,14,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,55,59,10,14,1,
lax_gen19,lax,gen,19,2,lax_gen19_t2,60,64,10,14,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,65,70,10,14,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,20,24,15,19,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,25,29,15,19,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,30,34,15,19,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,35,39,15,19,2,
lax_gen19,lax,gen,19,2,lax_gen19_t2,40,44,15,19,4,
lax_gen19,lax,gen,19,2,lax_gen19_t2,45,49,15,19,6,
lax_gen19,lax,gen,19,2,lax_gen19_t2,50,54,15,19,5,
lax_gen19,lax,gen,19,2,lax_gen19_t2,55,59,15,19,2,
lax_gen19,lax,gen,19,2,lax_gen19_t2,60,64,15,19,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,65,70,15,19,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,20,24,20,24,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,25,29,20,24,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,30,34,20,24,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,35,39,20,24,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,40,44,20,24,3,
lax_gen19,lax,gen,19,2,lax_gen19_t2,45,49,20,24,1,
lax_gen19,lax,gen,19,2,lax_gen19_t2,50,54,20,24,3,
lax_gen19,lax,gen,19,2,lax_gen19_t2,55,59,20,24,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,60,64,20,24,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,65,70,20,24,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,20,24,25,29,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,25,29,25,29,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,30,34,25,29,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,35,39,25,29,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,40,44,25,29,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,45,49,25,29,1,
lax_gen19,lax,gen,19,2,lax_gen19_t2,50,54,25,29,1,
lax_gen19,lax,gen,19,2,lax_gen19_t2,55,59,25,29,2,
lax_gen19,lax,gen,19,2,lax_gen19_t2,60,64,25,29,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,65,70,25,29,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,20,24,30,34,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,25,29,30,34,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,30,34,30,34,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,35,39,30,34,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,40,44,30,34,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,45,49,30,34,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,50,54,30,34,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,55,59,30,34,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,60,64,30,34,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,65,70,30,34,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,20,24,35,40,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,25,29,35,40,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,30,34,35,40,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,35,39,35,40,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,40,44,35,40,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,45,49,35,40,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,50,54,35,40,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,55,59,35,40,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,60,64,35,40,,
lax_gen19,lax,gen,19,2,lax_gen19_t2,65,70,35,40,,
