planid,cityabv,plantype,fy,tier,tierid,agemin,agemax,servmin,servmax,employee,inactive
phx_gen19,phx,gen,19,2,phx_gen19_t2,35,39,30,34,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,40,44,30,34,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,45,49,30,34,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,50,54,30,34,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,55,59,30,34,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,60,64,30,34,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,65,70,30,34,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,20,24,35,40,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,25,29,35,40,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,30,34,35,40,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,35,39,35,40,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,40,44,35,40,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,45,49,35,40,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,50,54,35,40,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,55,59,35,40,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,60,64,35,40,,
phx_gen19,phx,gen,19,2,phx_gen19_t2,65,70,35,40,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,20,24,0,4,173.36,
phx_gen19,phx,gen,19,3,phx_gen19_t3,25,29,0,4,460.07,
phx_gen19,phx,gen,19,3,phx_gen19_t3,30,34,0,4,373.39,
phx_gen19,phx,gen,19,3,phx_gen19_t3,35,39,0,4,273.38,
phx_gen19,phx,gen,19,3,phx_gen19_t3,40,44,0,4,206.7,
phx_gen19,phx,gen,19,3,phx_gen19_t3,45,49,0,4,200.03,
phx_gen19,phx,gen,19,3,phx_gen19_t3,50,54,0,4,153.36,
phx_gen19,phx,gen,19,3,phx_gen19_t3,55,59,0,4,126.69,
phx_gen19,phx,gen,19,3,phx_gen19_t3,60,64,0,4,73.35,
phx_gen19,phx,gen,19,3,phx_gen19_t3,65,70,0,4,33.34,
